学校名,办学性质,城市,2025最低分,2025位次,梯队,备注
南京铁道职业技术学院,公办,南京,485,约53482,保(专科),铁路就业极强考公友好
常州铁道职业技术学院,公办,常州,483,约54000,保(专科),铁路系统就业好
南京信息职业技术学院,公办,南京,482,56398,垫底(专科),信息技术方向
南京机电职业技术学院,公办,南京,467,约63000,垫底(专科),机电方向
苏州经贸职业技术学院,公办,苏州,466,约64000,垫底(专科),苏州+经贸
苏州卫生职业技术学院,公办,苏州,466,约64000,垫底(专科),医护方向
江苏司法警官职业学院,公办,南京,463,约65000,垫底(专科),司法考公方向极强
苏州工业职业技术学院,公办,苏州,463,约65000,垫底(专科),苏州+工业
江苏经贸职业技术学院,公办,南京,462,约66000,垫底(专科),经贸考公友好
常州信息职业技术学院,公办,常州,462,约66000,垫底(专科),IT方向
江苏卫生健康职业学院,公办,南京,461,约67000,垫底(专科),医护方向
南京城市职业学院,公办,南京,458,约69000,垫底(专科),综合类
南京交通职业技术学院,公办,南京,454,约72000,垫底(专科),交通方向
南京科技职业学院,公办,南京,454,约72000,垫底(专科),理工方向
苏州农业职业技术学院,公办,苏州,453,约73000,垫底(专科),苏州
江苏海事职业技术学院,公办,南京,451,约74000,垫底(专科),海事方向
无锡商业职业技术学院,公办,无锡,435,约83000,垫底(专科),商业考公友好
苏州工艺美术职业技术学院,公办,苏州,437,约82000,垫底(专科),艺术类名校
江苏财经职业技术学院,公办,淮安,381,约120000,垫底(专科),财会考公友好
江苏财会职业学院,公办,连云港,333,约130000,垫底(专科),财会方向
